group,Hex,Length,Weight
sjscarf2,7585,80,5.5
sjscarf2,7566,75,4.8
sjscarf2,7D49,74,4.5
sjscarf2,796B,79,5.4
sjscarf2,74A6,76,4.7
sjscarf2,748B,73,4.2
sjscarf2,7524,74,4.5
sjscarf2,7975,71,4.5
sjscarf2,7A8B,76,4.9
sjscarf2,7562,80,5.4
sjscarf2,7593,77,5
sjscarf2,7735,75,4.7
sjscarf2,826A,76,4.5
sjscarf2,752C,74,4.8
sjscarf2,72B4,74,4.5
sjscarf2,7DD5,76,4.9
sjscarf2,7656,75,4.7
sjscarf2,78AB,76,5.3
sjscarf2,7EA9,75,4.7
sjscarf2,7567,74,4.7
sjscarf2,7EAA,75,4.4
sjscarf2,7A91,75,4.7
sjscarf2,725A,74,4.3
sjscarf2,74A2,75,4.6
sjscarf2,7AEA,77,4.9
sjscarf2,7B4D,76,5
sjscarf2,775A,78,5.2
sjscarf2,74C5,73,4.4
sjscarf2,7769,75,4.9
sjscarf2,74CA,77,5.5
sjscarf2,7895,75,4.5
sjscarf2,765A,74,4.3
sjscarf2,74B5,76,4.8
sjscarf2,7A6A,77,4.6
sjscarf2,744D,75,4.3
sjscarf2,7B2B,78,5
sjscarf2,74AF,78,4.8
sjscarf2,7D25,76,4.6
sjscarf2,7D59,75,4.4
sjscarf2,75B3,76,4.4
sjscarf2,756D,78,4.7
sjscarf2,750D,79,5.2
sjscarf2,7528,74,4.4
sjscarf2,7D65,78,4.7
sjscarf2,748A,80,5.4
sjscarf2,76D6,80,5.2
sjscarf2,752B,80,5
sjscarf2,72B5,74,4.2
sjscarf2,7AD9,75,4.2
sjscarf2,755C,75,4.5
sjscarf2,7CD5,75,4.4
sjscarf2,766B,77,4.7
sjscarf2,7D6D,77,4.6
sjscarf2,755B,75,4.4
sjscarf2,74A4,75,4.2
sjscarf2,7516,77,5.3
sjscarf2,75B1,73,5.1
sjscarf2,7544,76,5.6
sjscarf2,7435,79,5.7
sjscarf2,76AE,77,5.5
