"date","time","sensor_20","datetime"
2017-03-05,"0630",32500,2017-03-05 06:30:00
2017-03-05,"0645",32500,2017-03-05 06:45:00
2017-03-05,"0700",32500,2017-03-05 07:00:00
2017-03-05,"0715",32500,2017-03-05 07:15:00
2017-03-05,"0730",32400,2017-03-05 07:30:00
2017-03-05,"0745",32500,2017-03-05 07:45:00
2017-03-05,"0800",32500,2017-03-05 08:00:00
2017-03-05,"0815",32500,2017-03-05 08:15:00
2017-03-05,"0830",32500,2017-03-05 08:30:00
2017-03-05,"0845",32500,2017-03-05 08:45:00
2017-03-05,"0900",32500,2017-03-05 09:00:00
2017-03-05,"0915",32500,2017-03-05 09:15:00
2017-03-05,"0930",32500,2017-03-05 09:30:00
2017-03-05,"0945",32800,2017-03-05 09:45:00
2017-03-05,"1000",32500,2017-03-05 10:00:00
2017-03-05,"1015",32500,2017-03-05 10:15:00
2017-03-05,"1030",32500,2017-03-05 10:30:00
2017-03-05,"1045",32500,2017-03-05 10:45:00
2017-03-05,"1100",32400,2017-03-05 11:00:00
2017-03-05,"1115",32500,2017-03-05 11:15:00
2017-03-05,"1130",32400,2017-03-05 11:30:00
2017-03-05,"1145",32500,2017-03-05 11:45:00
2017-03-05,"1200",32400,2017-03-05 12:00:00
2017-03-05,"1215",32300,2017-03-05 12:15:00
2017-03-05,"1230",32500,2017-03-05 12:30:00
2017-03-05,"1245",32400,2017-03-05 12:45:00
2017-03-05,"1300",32500,2017-03-05 13:00:00
2017-03-05,"1315",32500,2017-03-05 13:15:00
2017-03-05,"1330",32400,2017-03-05 13:30:00
2017-03-05,"1345",32400,2017-03-05 13:45:00
2017-03-05,"1400",32300,2017-03-05 14:00:00
2017-03-05,"1415",32300,2017-03-05 14:15:00
2017-03-05,"1430",32500,2017-03-05 14:30:00
2017-03-05,"1445",32400,2017-03-05 14:45:00
2017-03-05,"1500",32500,2017-03-05 15:00:00
2017-03-05,"1515",32500,2017-03-05 15:15:00
2017-03-05,"1530",32400,2017-03-05 15:30:00
2017-03-05,"1545",32500,2017-03-05 15:45:00
2017-03-05,"1600",32400,2017-03-05 16:00:00
2017-03-05,"1615",32500,2017-03-05 16:15:00
2017-03-05,"1630",32500,2017-03-05 16:30:00
2017-03-05,"1645",32400,2017-03-05 16:45:00
2017-03-05,"1700",32400,2017-03-05 17:00:00
2017-03-05,"1715",32400,2017-03-05 17:15:00
2017-03-05,"1730",32400,2017-03-05 17:30:00
2017-03-05,"1745",32400,2017-03-05 17:45:00
2017-03-05,"1800",32500,2017-03-05 18:00:00
2017-03-05,"1815",32300,2017-03-05 18:15:00
2017-03-05,"1830",32400,2017-03-05 18:30:00
2017-03-05,"1845",32400,2017-03-05 18:45:00
2017-03-05,"1900",32400,2017-03-05 19:00:00
2017-03-05,"1915",32400,2017-03-05 19:15:00
2017-03-05,"1930",32300,2017-03-05 19:30:00
2017-03-05,"1945",32300,2017-03-05 19:45:00
2017-03-05,"2000",32300,2017-03-05 20:00:00
2017-03-05,"2015",32400,2017-03-05 20:15:00
2017-03-05,"2030",32300,2017-03-05 20:30:00
2017-03-05,"2045",33100,2017-03-05 20:45:00
2017-03-05,"2100",33000,2017-03-05 21:00:00
2017-03-05,"2115",32900,2017-03-05 21:15:00
2017-03-05,"2130",33000,2017-03-05 21:30:00
2017-03-05,"2145",32900,2017-03-05 21:45:00
2017-03-05,"2200",33000,2017-03-05 22:00:00
2017-03-05,"2215",33000,2017-03-05 22:15:00
2017-03-05,"2230",32900,2017-03-05 22:30:00
2017-03-05,"2245",32800,2017-03-05 22:45:00
2017-03-05,"2300",32800,2017-03-05 23:00:00
2017-03-05,"2315",32800,2017-03-05 23:15:00
2017-03-05,"2330",32800,2017-03-05 23:30:00
2017-03-05,"2345",32900,2017-03-05 23:45:00
2017-03-06,"0000",32900,2017-03-06 00:00:00
2017-03-06,"0015",33000,2017-03-06 00:15:00
2017-03-06,"0030",33000,2017-03-06 00:30:00
2017-03-06,"0045",32800,2017-03-06 00:45:00
2017-03-06,"0100",32900,2017-03-06 01:00:00
2017-03-06,"0115",33000,2017-03-06 01:15:00
2017-03-06,"0130",33000,2017-03-06 01:30:00
2017-03-06,"0145",32800,2017-03-06 01:45:00
2017-03-06,"0200",32800,2017-03-06 02:00:00
2017-03-06,"0215",32900,2017-03-06 02:15:00
2017-03-06,"0230",33000,2017-03-06 02:30:00
2017-03-06,"0245",32900,2017-03-06 02:45:00
2017-03-06,"0300",32800,2017-03-06 03:00:00
2017-03-06,"0315",32800,2017-03-06 03:15:00
2017-03-06,"0330",33000,2017-03-06 03:30:00
2017-03-06,"0345",32900,2017-03-06 03:45:00
2017-03-06,"0400",32800,2017-03-06 04:00:00
2017-03-06,"0415",32200,2017-03-06 04:15:00
2017-03-06,"0430",32200,2017-03-06 04:30:00
2017-03-06,"0445",32300,2017-03-06 04:45:00
2017-03-06,"0500",32200,2017-03-06 05:00:00
2017-03-06,"0515",32200,2017-03-06 05:15:00
2017-03-06,"0530",32200,2017-03-06 05:30:00
2017-03-06,"0545",32200,2017-03-06 05:45:00
2017-03-06,"0600",32200,2017-03-06 06:00:00
2017-03-06,"0615",32200,2017-03-06 06:15:00
2017-03-06,"0630",32200,2017-03-06 06:30:00
2017-03-06,"0645",32200,2017-03-06 06:45:00
2017-03-06,"0700",NA,2017-03-06 07:00:00
2017-03-06,"0715",32200,2017-03-06 07:15:00
2017-03-06,"0730",32100,2017-03-06 07:30:00
