year,hex,length,weight
2017 Release Fish ,36A5,87,8.5
2017 Release Fish ,36A7,80,6.3
2017 Release Fish ,36B3,79,6
2017 Release Fish ,36B4,79,5.7
2017 Release Fish ,36B5,80,5.9
2017 Release Fish ,36B6,77,5
2017 Release Fish ,36B9,78,5.9
2017 Release Fish ,36BA,82,6.6
2017 Release Fish ,36CD,80,5.9
2017 Release Fish ,36D2,76,6.3
2017 Release Fish ,36D3,81,6.1
2017 Release Fish ,36D4,82,7.2
2017 Release Fish ,36D6,90,8.5
2017 Release Fish ,374D,79,6.1
2017 Release Fish ,3751,82,7
2017 Release Fish ,3752,76,5.6
2017 Release Fish ,3754,80,5.9
2017 Release Fish ,3757,88,9.1
2017 Release Fish ,37AD,89,8.7
2017 Release Fish ,37B5,86,8.2
2017 Release Fish ,37D5,80,6.6
2017 Release Fish ,3895,77,5.9
2017 Release Fish ,3925,81,6.7
2017 Release Fish ,3929,84,6.5
2017 Release Fish ,392A,80,6.3
2017 Release Fish ,392B,79,6.5
2017 Release Fish ,3935,88,8.6
2017 Release Fish ,3955,82,7
2017 Release Fish ,3956,82,6.6
2017 Release Fish ,3957,83,6.9
2017 Release Fish ,395A,83,6.6
2017 Release Fish ,395B,75,4.9
2017 Release Fish ,3965,84,6.6
2017 Release Fish ,396A,91,9.2
2017 Release Fish ,396B,77,5.5
2017 Release Fish ,396D,77,5.1
2017 Release Fish ,3975,79,5.7
2017 Release Fish ,3A15,85,7.5
2017 Release Fish ,3A25,82,6.3
2017 Release Fish ,3A2A,81,6.4
2017 Release Fish ,3A2D,81,6.8
2017 Release Fish ,3A49,90,8.5
2017 Release Fish ,3A4A,79,6.3
2017 Release Fish ,3A4B,82,6
2017 Release Fish ,3A5D,75,5.4
2017 Release Fish ,3A85,79,6.4
2017 Release Fish ,3A89,84,7.3
2017 Release Fish ,3A8B,85,7.7
2017 Release Fish ,3A91,81,6.7
2017 Release Fish ,3A92,76,5
2017 Release Fish ,3A93,81,7
2017 Release Fish ,3A95,81,6.6
2017 Release Fish ,3A96,82,5.9
2017 Release Fish ,3A97,82,7.2
2017 Release Fish ,3A99,78,5.5
2017 Release Fish ,3A9A,82,6.8
2017 Release Fish ,3A9B,87,8.2
2017 Release Fish ,3A9D,82,7.1
2017 Release Fish ,3AA7,83,7
2017 Release Fish ,3AA9,87,7.8
2017 Release Fish ,3AAC,77,5.5
2017 Release Fish ,3AAD,75,5.9
2017 Release Fish ,3AAE,82,6.4
2017 Release Fish ,3AAF,83,7.6
2017 Release Fish ,3AC5,80,6.9
2017 Release Fish ,3ACD,91,9.4
2017 Release Fish ,3ADD,80,6.4
2017 Release Fish ,3AED,74,5
2017 Release Fish ,3B15,84,7.2
2017 Release Fish ,3B25,79,6.4
2017 Release Fish ,3B29,86,7.4
2017 Release Fish ,3B2A,76,5.3
2017 Release Fish ,3B2D,80,6.9
2017 Release Fish ,3B45,82,6.6
2017 Release Fish ,3B49,82,6.4
2017 Release Fish ,3B4A,76,5.2
2017 Release Fish ,3B4D,80,6.5
2017 Release Fish ,3B51,79,5.9
2017 Release Fish ,3B52,77,5.4
2017 Release Fish ,3B55,83,7.1
2017 Release Fish ,3B56,74,5.1
2017 Release Fish ,3B65,83,8.2
2017 Release Fish ,3B95,85,8.3
2017 Release Fish ,3BB5,76,5.7
2018 Release Fish ,82A4,81,5.7
2018 Release Fish ,7491,77,5
2018 Release Fish ,7A9A,75,4.6
2018 Release Fish ,728A,75,4.35
2018 Release Fish ,7AEB,79,5.1
2018 Release Fish ,734B,77,4.9
2018 Release Fish ,7457,76,5.4
2018 Release Fish ,7539,75,4.5
2018 Release Fish ,75D7,78,4.8
2018 Release Fish ,79A9,78,5.2
2018 Release Fish ,81AA,75,4.5
2018 Release Fish ,7AB5,79,5.2
2018 Release Fish ,75A1,78,5.2
2018 Release Fish ,74CD,77,4.9
